Stacked Models Performance,Seed No.,Train AS,Test AS,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9157046395120889,0.8667247386759582,0.7254753091541775,0.5754150630816183,0.910072804058081,0.8540909395462439
1,43,0.9320409496841646,0.8702090592334495,0.7849358844694893,0.5854742466959117,0.9299495266003762,0.8641504331572117
2,44,0.9237638858636462,0.8649825783972126,0.7540025480686755,0.5671908395217197,0.9192457394312976,0.8530375532026923
3,45,0.9085166630363756,0.8806620209059234,0.7095754865530876,0.5861334888863007,0.9022992387230103,0.8752406788977626
4,46,0.9176649967327379,0.8719512195121951,0.7358832191249739,0.586844221819004,0.9133291370613085,0.8658589571688713
5,47,0.9152690045741668,0.8806620209059234,0.7294463713548166,0.6051325681530567,0.9112281306389437,0.8734630824832281
6,48,0.9294271400566325,0.8763066202090593,0.773308203726851,0.6164196038478031,0.9264340239841694,0.8700315907959636
7,49,0.9159224569810499,0.8911149825783972,0.7329007330855063,0.6388841157214667,0.9118405932880755,0.886514030380897
8,50,0.9154868220431278,0.8815331010452961,0.7262571225973711,0.6197268629670646,0.9100207993041715,0.8712231738784665
9,51,0.9150511871052058,0.872822299651568,0.7231622484062437,0.6097670375421262,0.9103240808850244,0.8671931494990591
