RF_CWB Model Performance,Seed No.,Train AC,Test AC,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9719015465040296,0.8475609756097561,0.9152021176812976,0.527488951072695,0.9720903691735618,0.8408769196119656
1,43,0.9725549989109127,0.8405923344947736,0.9159957893257645,0.49695327052401034,0.9725873205070573,0.83102638455938
2,44,0.9697233718144195,0.8423344947735192,0.9072891703795274,0.5077422023283872,0.9697531081194268,0.8344938344828349
3,45,0.9712480940971466,0.837979094076655,0.9116435419335188,0.49213003288012863,0.9712253473096149,0.8294324961983282
4,46,0.9688521019385755,0.8501742160278746,0.9043904592587279,0.5314918147121287,0.9688459554526487,0.8422709104629699
5,47,0.9690699194075365,0.8458188153310104,0.904878516082659,0.5230052266152576,0.9690331582114015,0.8393536196748708
6,48,0.9716837290350686,0.8484320557491289,0.9133287349458068,0.5287625287134847,0.9717170767136306,0.8413443565919461
7,49,0.9688521019385755,0.8475609756097561,0.9037804179973138,0.5235375573200481,0.9687336991012688,0.8396741982817233
8,50,0.9716837290350686,0.8414634146341463,0.9133287349458068,0.5065436640369444,0.9717170767136306,0.8340498442513461
9,51,0.9710302766281855,0.85801393728223,0.9109408092131009,0.5615078558415187,0.9710016058353317,0.8520601130339206
