RF_ROS Model Performance,Seed No.,Train AC,Test AC,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9847945205479453,0.8432055749128919,0.9698162256362018,0.5313161883309244,0.9847927395662909,0.8406096241967419
1,43,0.9849315068493151,0.8371080139372822,0.9701323360799429,0.5200682646357154,0.9849294152365377,0.8358033885057657
2,44,0.9846575342465753,0.8432055749128919,0.9695364733906818,0.5374273125737011,0.9846557824316067,0.8418315162414297
3,45,0.9841095890410959,0.8493031358885017,0.968540418187626,0.5513333056564347,0.9841069538195524,0.8471677507349464
4,46,0.9847945205479453,0.8484320557491289,0.9697937949344145,0.5424524927348664,0.9847929153715325,0.844926300103076
5,47,0.9856164383561644,0.8362369337979094,0.9714166776050212,0.5155474810312752,0.985615077605671,0.8345525540554883
6,48,0.9854794520547945,0.8501742160278746,0.971147867156435,0.5603801871937375,0.9854780393724172,0.8493092974709574
7,49,0.9849315068493151,0.8432055749128919,0.9699940782365832,0.5277417559751576,0.9849304888301705,0.8398411717754686
8,50,0.9853424657534247,0.8405923344947736,0.9708205169982426,0.529078652573599,0.985341442212544,0.8390744216938336
9,51,0.9853424657534247,0.8414634146341463,0.9709482474177265,0.5273140979703741,0.9853404782314735,0.8390915757590769
