RF_CWB Model Performance,Seed No.,Train AC,Test AC,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9684164670006534,0.8466898954703833,0.903053259758671,0.518331725772272,0.9684102345498885,0.8379724865774648
1,43,0.9725549989109127,0.8475609756097561,0.9155363256475226,0.5216348008574034,0.9725114402266917,0.8390511729559144
2,44,0.9738619037246787,0.8414634146341463,0.920064985687247,0.5065436640369444,0.9739028844895901,0.8340498442513461
3,45,0.9703768242213026,0.8449477351916377,0.9093281533758704,0.513635641745076,0.9704117110234904,0.8364518859962151
4,46,0.9710302766281855,0.8484320557491289,0.9101665412014137,0.5268210086063144,0.9708369431152122,0.8407429352006878
5,47,0.9686342844696144,0.8527874564459931,0.903994044615955,0.5369068139733065,0.9686712234366368,0.8439533278171325
6,48,0.9725549989109127,0.8493031358885017,0.9155973400051234,0.5272934929688344,0.9725223798213845,0.8408905881221326
7,49,0.9697233718144195,0.8484320557491289,0.9061508882721893,0.5240024918034787,0.9695338539622252,0.8398137083209027
8,50,0.9703768242213026,0.8510452961672473,0.909483509957438,0.5356845259786043,0.9704347918906945,0.8436378215279822
9,51,0.9712480940971466,0.8440766550522648,0.9115135609420825,0.5083685686523807,0.9712024611898676,0.8347197969187379
