RF_ROS Model Performance,Seed No.,Train AC,Test AC,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9841095890410959,0.8353658536585366,0.9685136480891117,0.5110172718601739,0.9841071733553046,0.8332910571490807
1,43,0.9850684931506849,0.8423344947735192,0.970364299230797,0.5317560373253256,0.9850667442587899,0.8403475203385377
2,44,0.9853424657534247,0.8414634146341463,0.9708686287036925,0.5260902468644254,0.9853410790838742,0.83883862002115
3,45,0.9853424657534247,0.8432055749128919,0.9709867514043129,0.5337381510744524,0.9853401876917672,0.8411070448761306
4,46,0.9845205479452055,0.8344947735191638,0.9692681520416067,0.5090773355318823,0.9845187348737914,0.8325375794144384
5,47,0.9854794520547945,0.8466898954703833,0.971180684481791,0.5441237810523071,0.9854777940870563,0.8446379994344386
6,48,0.9857534246575342,0.8405923344947736,0.9717065720429927,0.521642831817401,0.9857519605504967,0.8375659373343708
7,49,0.9850684931506849,0.8388501742160279,0.9704797469221597,0.5239258428517393,0.9850658563453247,0.8373156722041487
8,50,0.9853424657534247,0.837979094076655,0.9708686287036925,0.5207081704755212,0.9853410790838742,0.8363126332676639
9,51,0.9850684931506849,0.8423344947735192,0.970341855852716,0.5305293010253571,0.9850669168963696,0.8401003634856953
