RF_ROS Model Performance,Seed No.,Train AC,Test AC,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9842465753424657,0.8405923344947736,0.968755872035468,0.5316136102816229,0.9842444392207426,0.839553974888286
1,43,0.9853424657534247,0.8458188153310104,0.9710001705365916,0.5397451515119589,0.9853400864403759,0.8433894960088553
2,44,0.9857534246575342,0.8405923344947736,0.9717642212975827,0.5265713459590377,0.9857515380531527,0.8385834045411734
3,45,0.9849315068493151,0.8344947735191638,0.9700845437543848,0.5077740761298157,0.9849297863167564,0.8322796584803599
4,46,0.9854794520547945,0.8414634146341463,0.9712412229434377,0.5297838541398259,0.9854773416500984,0.8395886287022515
5,47,0.9857534246575342,0.8371080139372822,0.9717766281749937,0.5162019632264618,0.9857514471327266,0.8350551729464448
6,48,0.9838356164383562,0.8405923344947736,0.967903746598293,0.529078652573599,0.983833674901846,0.8390744216938336
7,49,0.9842465753424657,0.8292682926829268,0.9687811918475235,0.4949047232542914,0.9842442334128892,0.8275122372067856
8,50,0.9852054794520548,0.8371080139372822,0.9706559397360965,0.5136573328413965,0.9852036124805841,0.8345414449359092
9,51,0.9854794520547945,0.8423344947735192,0.971147867156435,0.5367354897368095,0.9854780393724172,0.8413074833594525
