RF_RUS Model Performance,Seed No.,Train AC,Test AC,Train MCC,Test MCC,Train F1,Test F1
0,42,0.973432518597237,0.8162020905923345,0.9470383150443964,0.5237708685570753,0.973430088095776,0.8238370411584067
1,43,0.975557917109458,0.7935540069686411,0.9515995585077073,0.477312380467038,0.9755517048175896,0.8035351517077031
2,44,0.9787460148777896,0.7926829268292683,0.9577083678925193,0.4723809326821172,0.9787436143310055,0.8024529880309308
3,45,0.9771519659936238,0.794425087108014,0.9543044708495949,0.4946004091711457,0.9771519595428811,0.8056924653739006
4,46,0.973432518597237,0.7909407665505227,0.9470019402006045,0.4713199986718207,0.9734305982378925,0.8011322096172717
5,47,0.9803400637619554,0.794425087108014,0.9608369375152233,0.49282637662206674,0.9803384594968144,0.8055443176440188
6,48,0.9739638682252922,0.7874564459930313,0.948163874969587,0.4550334112125881,0.9739606260992923,0.7971183996731067
7,49,0.9739638682252922,0.7926829268292683,0.9480824648933398,0.47590087982657747,0.9739617436579432,0.8027894412037944
8,50,0.9771519659936238,0.7935540069686411,0.9545416588819384,0.4738024994111666,0.9771491208626443,0.8031978254075377
9,51,0.9782146652497343,0.789198606271777,0.9566243525249698,0.4685177115506277,0.9782124446183789,0.7996425558258279
