RF Model Performance,Seed No.,Train AC,Test AC,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9732084513177957,0.8449477351916377,0.9165256234603062,0.5088900343480794,0.9728240606899756,0.8348100537636421
1,43,0.9710302766281855,0.8527874564459931,0.9096950083490752,0.5386108771916965,0.9706525386738372,0.8445694184545687
2,44,0.9703768242213026,0.8493031358885017,0.9076085834110769,0.5263856440224357,0.9699712307273929,0.8405771214321416
3,45,0.9727728163798737,0.8493031358885017,0.915183036211396,0.5263856440224357,0.972417799505486,0.8405771214321416
4,46,0.9703768242213026,0.8466898954703833,0.9075637921391226,0.5192823677536885,0.9699322940944286,0.8382895052546846
5,47,0.9736440862557177,0.8449477351916377,0.9180498917727103,0.5107492845766457,0.9733796763586625,0.8354785048106423
6,48,0.9725549989109127,0.8475609756097561,0.9146273789814,0.5285056022190092,0.9722738268599784,0.8411688330118778
7,49,0.9729906338488347,0.8597560975609756,0.9158907190983844,0.5597374102300472,0.9726560057457322,0.8513401525358482
8,50,0.9738619037246787,0.8484320557491289,0.9186990566026513,0.5240024918034787,0.9735829789342465,0.8398137083209027
9,51,0.9714659115661076,0.8501742160278746,0.9110231911520037,0.522979926518417,0.9710565199218443,0.839039313923627
