RF_CWB Model Performance,Seed No.,Train AC,Test AC,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9705946416902635,0.85801393728223,0.909534897787796,0.5563890570150034,0.9705538366414295,0.8503795328828985
1,43,0.9716837290350686,0.8501742160278746,0.9131856171403885,0.5333628294998536,0.9716948788986415,0.8428724861153581
2,44,0.9725549989109127,0.8519163763066202,0.9156599075139504,0.5362225457795259,0.9725332860682685,0.843802363030093
3,45,0.9727728163798737,0.8554006968641115,0.9166979719851306,0.5537220992548554,0.9728101971232227,0.8494745240754479
4,46,0.9719015465040296,0.8519163763066202,0.9140319588168655,0.541773530337356,0.9719401234311659,0.8455654977847588
5,47,0.9721193639729906,0.8458188153310104,0.9140759146872908,0.5199238219858782,0.9720527853704185,0.8384573190046123
6,48,0.9703768242213026,0.8440766550522648,0.9090353801023021,0.5074130495371498,0.9703651240707265,0.8343876704522589
7,49,0.9723371814419517,0.8466898954703833,0.9151550010259848,0.5252403549768802,0.9723426318799608,0.8401148682948091
8,50,0.9729906338488347,0.8440766550522648,0.9171924759772694,0.5123146358067171,0.9730012691033194,0.8360096085281625
9,51,0.9697233718144195,0.8519163763066202,0.9072891703795274,0.5371149264024144,0.9697531081194268,0.844104969643633
