RF_RUS Model Performance,Seed No.,Train AC,Test AC,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9808714133900106,0.8005226480836237,0.9619188272897629,0.5078076379312569,0.9808696634289588,0.8112394200358609
1,43,0.9729011689691818,0.7926829268292683,0.9458926072263211,0.48296912892806293,0.9728998759089774,0.8034352201275835
2,44,0.9766206163655685,0.7918118466898955,0.9533790576430328,0.4833596085388162,0.9766189264493452,0.8028433265548035
3,45,0.9750265674814028,0.7952961672473867,0.95033705037516,0.48715723106385284,0.9750228370458534,0.8056779470085206
4,46,0.9766206163655685,0.8048780487804879,0.9534156774352677,0.5252149340400448,0.9766184775242829,0.8158477362224819
5,47,0.973432518597237,0.7822299651567944,0.9469420378289982,0.4702480909555849,0.9734314384292645,0.794771274427519
6,48,0.9792773645058448,0.7952961672473867,0.9586462154136423,0.4906768611475719,0.9792763756951003,0.805990165117506
7,49,0.9776833156216791,0.7900696864111498,0.9555414648988915,0.4877815937459173,0.9776812740004519,0.8019445900380238
8,50,0.9760892667375133,0.7909407665505227,0.9524630840449031,0.48376631384203067,0.9760856950439022,0.802248458621036
9,51,0.9750265674814028,0.7883275261324042,0.9501738618341605,0.47248633149141406,0.9750249809484093,0.7993855749938465
