RF Model Performance,Seed No.,Train AC,Test AC,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9721193639729906,0.8423344947735192,0.9131175002010605,0.501680245867544,0.9717497700159928,0.83253725336234
1,43,0.9714659115661076,0.8449477351916377,0.911150280780527,0.5107492845766457,0.9711431041476822,0.8354785048106423
2,44,0.9699411892833806,0.8519163763066202,0.9061630853949645,0.5371149264024144,0.96946358091087,0.844104969643633
3,45,0.9729906338488347,0.8510452961672473,0.9159073985528121,0.5303442642155731,0.9726676603207873,0.8417893388119344
4,46,0.9716837290350686,0.8493031358885017,0.9117615863271948,0.5291490180767137,0.9713206534267089,0.8415064931585035
5,47,0.9719015465040296,0.8423344947735192,0.9128348196847254,0.5056752600860992,0.9717023564931642,0.8338570273116848
6,48,0.9723371814419517,0.8493031358885017,0.913751029070014,0.5246114605459673,0.9718915136226638,0.8399389217220156
7,49,0.9747331736005228,0.8493031358885017,0.9214300896585889,0.5254915158449361,0.974463546303105,0.8402599154577747
8,50,0.9716837290350686,0.8458188153310104,0.9118002814186835,0.5113260013584964,0.971345127755664,0.8355694273738744
9,51,0.9742975386626007,0.8484320557491289,0.9201304474540624,0.5240024918034787,0.9740560312036121,0.8398137083209027
