DT Model Performance,Seed No.,Train EVS,Test EVS,Train R2,Test R2,Train MSE,Test MSE
0,42,0.31038082317556315,0.2869694905654696,0.31038082317556304,0.2868085193703771,1.3241829220068504,1.4097004321921873
1,43,0.3173291177579812,0.25161383647803504,0.3173291177579811,0.25149439600164525,1.326421558966433,1.4111052696162663
2,44,0.3220411360886659,0.25597134994309423,0.322041136088666,0.25446528294156145,1.3199724097305758,1.393930411046662
3,45,0.32430156398243404,0.2788229250656752,0.3243015639824339,0.27826622367898834,1.3076350690376384,1.3829897852227884
4,46,0.31259399622863404,0.29923198556141584,0.31259399622863404,0.2991307435408389,1.304503691930669,1.4486593658749571
5,47,0.32329009841778955,0.23876412197495878,0.32329009841778955,0.23799696883078547,1.3105377968619751,1.452450770454161
6,48,0.3199869419676714,0.24281391638541472,0.3199869419676714,0.24241867627038394,1.329165486411238,1.3925844791152513
7,49,0.32092302907753,0.2700161823042778,0.3209230290775298,0.26960176848618744,1.3042567404484153,1.4420303266897883
8,50,0.32220721571672517,0.2616754011747222,0.3222072157167253,0.2616228836291642,1.3136468615885202,1.4068097087530556
9,51,0.324396141287948,0.2079078004588204,0.324396141287948,0.20437614268300042,1.3153703876760128,1.4836891911520032
