RF_ROS Model Performance,Seed No.,Train AC,Test AC,CV AC,Train MCC,Test MCC,CV MCC,Train F1,Test F1,CV F1
0,42,0.9852054794520548,0.8510452961672473,0.9378082191780821,0.9706441309318103,0.5623448870127425,0.8705204717874777,0.9850415512465375,0.9048414023372288,0.9356992041747965
1,43,0.9854794520547945,0.8371080139372822,0.9368493150684932,0.9712040232706737,0.5174842378212073,0.8766466487138824,0.9853144915489056,0.8962839711591791,0.9361532666624728
2,44,0.9857534246575342,0.8336236933797909,0.9347945205479451,0.9717521068052508,0.5111260924608766,0.8819796284673789,0.9855915766140205,0.8937117417918753,0.9359222369395047
3,45,0.9863013698630136,0.8493031358885017,0.9365753424657534,0.9728136453660032,0.5456556204080583,0.8806976632976063,0.9861572535991141,0.9047881122729774,0.93662484373273
4,46,0.9850684931506849,0.8388501742160279,0.9373972602739726,0.970341855852716,0.5252054926709749,0.8772445322823776,0.9849134948096885,0.8971650917176208,0.9350894211869886
5,47,0.9854794520547945,0.8423344947735192,0.9368493150684932,0.9712161309302405,0.5367354897368095,0.8784129748957561,0.9853104212860311,0.899276572064552,0.9354352215143278
6,48,0.9846575342465753,0.8449477351916377,0.9375342465753423,0.9696646402008056,0.537732599011094,0.8825682916627334,0.9844487642321577,0.9015486725663717,0.9348340306686129
7,49,0.9854794520547945,0.8344947735191638,0.9364383561643835,0.9711922077985138,0.514351566863613,0.8747400082565576,0.9853185595567867,0.8942093541202673,0.9338887575665946
8,50,0.9856164383561644,0.8432055749128919,0.9397260273972604,0.9714840840401756,0.5349604837918118,0.8742521521758974,0.98545101842871,0.9002217294900222,0.9327560327624074
9,51,0.9853424657534247,0.8371080139372822,0.9386301369863013,0.9709359971098286,0.5162019632264618,0.8798107080797818,0.9851738949702092,0.8963988919667589,0.9349953869504898
