RF_RUS Model Performance,Seed No.,Train AC,Test AC,CV AC,Train MCC,Test MCC,CV MCC,Train F1,Test F1,CV F1
0,42,0.975557917109458,0.7918118466898955,0.7715108076076528,0.9514253327523364,0.47272767680084415,0.5391996187141914,0.975865687303253,0.8593290170688641,0.7725328835572356
1,43,0.973432518597237,0.7996515679442509,0.7661987132456685,0.9470789742422139,0.5081698879429762,0.5445639647497387,0.9737118822292324,0.8632580261593342,0.780587190579225
2,44,0.975557917109458,0.7857142857142857,0.7800129804165021,0.9513307317023361,0.4737952721194384,0.5384889001977572,0.975814931650894,0.8535714285714285,0.7791770048614014
3,45,0.9739638682252922,0.7961672473867596,0.762472487160675,0.9482624520738685,0.4938304508720787,0.5458391056440489,0.9743051914001049,0.8613744075829384,0.7873225109011798
4,46,0.973432518597237,0.8118466898954704,0.7715079857779784,0.9472266753829865,0.5179412454150076,0.5360536148057624,0.9737945492662474,0.873536299765808,0.786869324795791
5,47,0.9750265674814028,0.7996515679442509,0.7757647158417519,0.9501438099554281,0.4890412208883136,0.5402642132463695,0.9751978891820581,0.8650234741784039,0.7774283471842566
6,48,0.9760892667375133,0.7900696864111498,0.7688540549692421,0.9521833724676915,0.48060661911120484,0.521198139303563,0.9761273209549072,0.856973293768546,0.7661801695984806
7,49,0.9744952178533475,0.7831010452961672,0.76566256560754,0.9490676091821497,0.4661100163812647,0.5498417907288178,0.9746568109820486,0.8518738845925046,0.7856846535009716
8,50,0.9739638682252922,0.7935540069686411,0.7715136294373272,0.948163874969587,0.482595074689868,0.5262965427911702,0.9742511823436679,0.8600118133490845,0.7823768239845643
9,51,0.9739638682252922,0.7918118466898955,0.7667278063096111,0.9480824648933398,0.4833596085388162,0.5400581479032313,0.9741969457609267,0.8583283935981032,0.7730153045416955
