DT Model Performance,Seed No.,Train AS,Test AS,Train MCC,Test MCC,Train F1,Test F1
0,42,0.7845188284518828,0.7364016736401674,0.5691393665875609,0.47259830832595046,0.7844799163743164,0.7363785898579094
1,43,0.7829497907949791,0.7280334728033473,0.5659886776442551,0.456474914630943,0.7829136246977103,0.7280334728033473
2,44,0.7766736401673641,0.7322175732217573,0.5603340405503626,0.47096068928755547,0.7753461741365143,0.7299321103977913
3,45,0.7819037656903766,0.7615062761506276,0.570235670119309,0.5317762822741258,0.7807624763060234,0.7589795820791966
4,46,0.7641213389121339,0.7343096234309623,0.5290134738486894,0.4716372833061703,0.763582370515229,0.7346575700073772
5,47,0.7813807531380753,0.7259414225941423,0.5655103140035689,0.457982443530449,0.7806965829966804,0.7251881678673788
6,48,0.7751046025104602,0.7280334728033473,0.5503343099252866,0.45652827937009943,0.7750935289016657,0.7274747552221912
7,49,0.7866108786610879,0.7364016736401674,0.5735755627796112,0.4743064853680901,0.786332911253028,0.7367343073134749
8,50,0.7808577405857741,0.7322175732217573,0.5676483767228867,0.4654415919860219,0.7798254352354397,0.7314409966536609
9,51,0.7688284518828452,0.7468619246861925,0.5406499942912528,0.4988776556433996,0.7680893526864057,0.7460701568035017
