SVM RBF Model Performance,Seed No.,Train AS,Test AS,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9806485355648535,0.6234309623430963,0.9614172748782847,0.3172782217882661,0.98064797974612,0.5756397135613521
1,43,0.979602510460251,0.5899581589958159,0.959432111960694,0.2601757581769485,0.9795991117185799,0.5371153061761533
2,44,0.9822175732217573,0.600418410041841,0.9646073765977666,0.2668188584385238,0.9822163473668244,0.5476759988342006
3,45,0.9785564853556485,0.6213389121338913,0.9572662903897442,0.3496780362923258,0.9785553884325691,0.5600579693823547
4,46,0.9790794979079498,0.6589958158995816,0.9582584736523155,0.35459811636058225,0.9790812607140552,0.6182910229335821
5,47,0.9790794979079498,0.602510460251046,0.9584036211227094,0.3042345470140998,0.9790749639707704,0.5522885048069096
6,48,0.979602510460251,0.6234309623430963,0.9593904479521268,0.3552040055574747,0.9795996475685438,0.5735395183050371
7,49,0.9822175732217573,0.5878661087866108,0.9647125157215297,0.28061409131192033,0.9822107959592393,0.5457113312253543
8,50,0.9811715481171548,0.6108786610878661,0.9623967349658639,0.26155454565358305,0.9811714451095455,0.5741969491038507
9,51,0.977510460251046,0.6317991631799164,0.9551347779906538,0.36611745286674807,0.9775083375602567,0.5869392510989884
