Stacked Models Performance,Seed No.,Train AS,Test AS,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9194560669456067,0.7887029288702929,0.8400938877422197,0.5777595422351806,0.9194097770755434,0.7884499761358594
1,43,0.9173640167364017,0.7887029288702929,0.8347459203660258,0.5775618347020322,0.9173642879897728,0.7887168010929297
2,44,0.9330543933054394,0.7677824267782427,0.8666031317481703,0.5380828468240969,0.9330379818362036,0.7670428576257285
3,45,0.9157949790794979,0.7719665271966527,0.8315893074934593,0.5438604805596273,0.9157950942483893,0.7719116065615053
4,46,0.9278242677824268,0.7824267782426778,0.8556500714366351,0.564250421680828,0.9278286911862443,0.7826750971676361
5,47,0.9461297071129707,0.801255230125523,0.892346865384891,0.6030353654646383,0.9461298986783536,0.8012943772575878
6,48,0.9351464435146444,0.7845188284518828,0.8703165509122069,0.5688711624311047,0.9351441726125842,0.7844876899633313
7,49,0.922071129707113,0.7907949790794979,0.8451514028490089,0.586167902144962,0.9219785382603589,0.7909854818566254
8,50,0.930439330543933,0.799163179916318,0.8609035657861623,0.5982336934030899,0.9304394637383852,0.799089280749971
9,51,0.9142259414225942,0.805439330543933,0.8284606925646116,0.6110396200640126,0.9142239704401532,0.8054521039766581
