MLP Model Performance,Seed No.,Train AS,Test AS,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9002395992158572,0.8623693379790941,0.6724436266274662,0.5620081278840089,0.8944797331538702,0.8508504992282425
1,43,0.9013286865606621,0.8719512195121951,0.6790486928484004,0.581179363318422,0.8956403132454326,0.8616403378911278
2,44,0.9065563058157264,0.8632404181184669,0.6944272179389601,0.5636769666087716,0.9008835631870641,0.8527863121101519
3,45,0.8991505118710521,0.8832752613240418,0.6773640231229628,0.5939078101143709,0.8921500481213505,0.8775619768351322
4,46,0.8904378131126116,0.8658536585365854,0.638255316507859,0.5495696891212869,0.8797982595812238,0.8514205086013061
5,47,0.8961010673055979,0.867595818815331,0.6617279189503381,0.5524021739941236,0.8888105179741996,0.85652455359926
6,48,0.8995861468089741,0.8780487804878049,0.6698523986044008,0.6204055143339904,0.893586640155929,0.871114477959347
7,49,0.897190154650403,0.8832752613240418,0.6699002998921754,0.6126870978311915,0.8918155811274139,0.8784682462063106
8,50,0.896972337181442,0.8789198606271778,0.6610153712988481,0.6112084652698883,0.8896614653521664,0.869129331825703
9,51,0.8889130908298846,0.8693379790940766,0.6271584525341991,0.5883196524206816,0.8782729210517811,0.8579163457335276
