RF Model Performance,Seed No.,Train AS,Test AS,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9644957525593553,0.8475609756097561,0.8891149038653723,0.5245075965185175,0.9640328105551539,0.8399802267099233
1,43,0.9658026573731213,0.8510452961672473,0.8938681295953421,0.5172479989296519,0.9652152002442141,0.8425129129750215
2,44,0.9649313874972772,0.8684668989547039,0.8904878858729018,0.5848016327432709,0.9643836407830157,0.8601894083115057
3,45,0.960357220649096,0.8649825783972126,0.8791247947854913,0.5544155043674799,0.9596766962247416,0.8636408006544382
4,46,0.9640601176214333,0.8693379790940766,0.888924685350327,0.5804229867361717,0.9636008108541423,0.8637965801962959
5,47,0.9640601176214333,0.8667247386759582,0.8892714446118086,0.5677767587461404,0.9635586133960511,0.8618506160766749
6,48,0.9618819429318232,0.8388501742160279,0.8807221806946919,0.49440552743523153,0.9613183195012063,0.8301853594069707
7,49,0.9610106730559791,0.8588850174216028,0.8801916621062852,0.5337713322399987,0.9603887255164385,0.8539622274604824
8,50,0.959921585711174,0.8554006968641115,0.8752084071126851,0.5467672851301268,0.9593605737964989,0.8498116822678828
9,51,0.9636244826835112,0.85801393728223,0.8862234388256005,0.5670241104305167,0.9631645250915306,0.8529197517746673
