Stacked Models Performance,Seed No.,Train AS,Test AS,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9141799172293618,0.8641114982578397,0.7203579015781082,0.567140187026556,0.9090275501480105,0.8520781450743597
1,43,0.917011544325855,0.872822299651568,0.7325674287489302,0.582697606157834,0.9115084550998271,0.8614581888267389
2,44,0.9281202352428665,0.8719512195121951,0.7689338518364156,0.5929600400096943,0.9243866445895534,0.8618623244428444
3,45,0.9050315835329994,0.8806620209059234,0.6975304120714656,0.5820468840670432,0.8980191111445709,0.8741027182540373
4,46,0.9215857111740362,0.877177700348432,0.7492912204221868,0.6012567816306266,0.9177112171256914,0.8702775571685138
5,47,0.918318449139621,0.8780487804878049,0.7392403950295526,0.5957407499008098,0.9140292966844286,0.8705509487796773
6,48,0.916793726856894,0.8736933797909407,0.7301840796632778,0.6083345674691687,0.9126864740257817,0.8674121878453651
7,49,0.9126551949466347,0.8841463414634146,0.7219578587371926,0.6169645581677924,0.9083455158184899,0.8797434007020565
8,50,0.9154868220431278,0.882404181184669,0.7262571225973711,0.624573686894959,0.9100207993041715,0.8740108987320158
9,51,0.91810063167066,0.877177700348432,0.7333945279558762,0.618945403954956,0.9129761349168234,0.8696411521021531
