RF Model Performance,Seed No.,Train AC,Test AC,CV AC,Train MCC,Test MCC,Cv MCC,Train F1,Test F1,CV F1
0,42,0.9729906338488347,0.8484320557491289,0.859727941472805,0.9159258485002012,0.5240024918034787,0.5502703485158862,0.9831430125067973,0.9061488673139159,0.9149829469142707
1,43,0.9729906338488347,0.8432055749128919,0.853629146012171,0.9159680235467137,0.5050291158154853,0.5068977487360451,0.9831338411316649,0.9031216361679225,0.9150540579873676
2,44,0.9725549989109127,0.8571428571428571,0.8595084170773859,0.9145793738258368,0.5531627238053632,0.5241017950009939,0.9828664672287191,0.9114470842332613,0.9143393381709896
3,45,0.9710302766281855,0.8432055749128919,0.8599427245205904,0.9098093701139499,0.5031186188791038,0.5234338150046066,0.9819121447028425,0.9033297529538131,0.9119074089733873
4,46,0.9712480940971466,0.837979094076655,0.8595074688078593,0.9105343238963848,0.49104873771062624,0.5335718093481883,0.9820408163265306,0.8995680345572354,0.9111099867235619
5,47,0.9723371814419517,0.8527874564459931,0.85972580786637,0.913932259442638,0.5377515424056012,0.5181972428854118,0.9827234389878929,0.9088948787061994,0.9154740853672557
6,48,0.9732084513177957,0.8536585365853658,0.8562406802885585,0.9166193708159823,0.5385407128848104,0.5351186281545243,0.9832766825288918,0.9096774193548388,0.9146231975007989
7,49,0.9734262687867566,0.8510452961672473,0.8571135623878374,0.9172353126018981,0.529504271225555,0.5198872911655251,0.983432916892993,0.9081139172487911,0.9144202979522686
8,50,0.9714659115661076,0.8554006968641115,0.8571135623878374,0.9110360068683926,0.5483611497829859,0.5116557210740559,0.9822179991855572,0.9102702702702704,0.9169438905490456
9,51,0.9705946416902635,0.8519163763066202,0.8568945121271818,0.9083899331686465,0.5336299596212875,0.5302369506557205,0.981650129128721,0.9085037674919269,0.9130462310469228
