RF Model Performance,Seed No.,Train AS,Test AS,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9649313874972772,0.8344947735191638,0.8910293887015782,0.4797552856934013,0.9646535200343478,0.8254261704453981
1,43,0.9636244826835112,0.8501742160278746,0.8871001407945646,0.5191723628579977,0.9630633219734798,0.8430258114497374
2,44,0.9651492049662382,0.8536585365853658,0.8913344638044077,0.5405261955124989,0.9646886415555168,0.8461411419321128
3,45,0.9618819429318232,0.8658536585365854,0.8838484104246581,0.5550926226213635,0.9612356965323435,0.8641405939639949
4,46,0.9644957525593553,0.8719512195121951,0.8904342512691543,0.5860096659354711,0.9641020608185272,0.8655885960222652
5,47,0.9638423001524722,0.8736933797909407,0.888521916165055,0.5878932047818372,0.9632991091716387,0.8682957940251357
6,48,0.9642779350903943,0.8475609756097561,0.888341793743802,0.5225798590624006,0.9637732337619889,0.839364529168756
7,49,0.9627532128076671,0.8632404181184669,0.8858605318560098,0.5477451952796103,0.9622851783564677,0.8583282478254032
8,50,0.9616641254628622,0.8632404181184669,0.8806811455128806,0.569496949739437,0.9611275053705641,0.857287679193017
9,51,0.9644957525593553,0.8371080139372822,0.88909223496369,0.5116412748268544,0.9640928466702481,0.8335206583523939
