MLP Model Performance,Seed No.,Train AS,Test AS,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9017643214985842,0.8632404181184669,0.6825150884750555,0.5698132491112389,0.8981796284738495,0.8544474697254363
1,43,0.8961010673055979,0.8667247386759582,0.6581369921193729,0.5580784475224173,0.8870090057297001,0.8524886760825039
2,44,0.9013286865606621,0.8588850174216028,0.6747673869094396,0.5441385689815436,0.8936663411624428,0.8451495461514388
3,45,0.8930516227401437,0.8832752613240418,0.6553154400957412,0.5874942337359321,0.8836674963777871,0.8755362973225097
4,46,0.897407972119364,0.8667247386759582,0.6668660071282265,0.5642904834610327,0.8916942120271774,0.8586427648189882
5,47,0.8867349161402744,0.8667247386759582,0.626291103141076,0.5421339753456023,0.8753234188340591,0.850472723530583
6,48,0.896754519712481,0.8719512195121951,0.6594956233091791,0.5986053761724417,0.8902549897660151,0.863718331526364
7,49,0.9026355913744283,0.8815331010452961,0.6900028015729843,0.6125226780084717,0.8984884676938466,0.8781191376981253
8,50,0.9019821389675452,0.8789198606271778,0.6835741234071712,0.6193386790330758,0.8979661370480241,0.8734085009655644
9,51,0.9011108690917011,0.882404181184669,0.6778388037516032,0.6420402212840294,0.8967990248346928,0.8779704521808448
