SVM RBF Model Performance,Seed No.,Train EVS,Test EVS,Train R2,Test R2,Train MSE,Test MSE
0,42,0.7112854776207014,0.1513785619248229,0.7097946480991837,0.14646728672176357,0.5572422922338198,1.687100123148223
1,43,0.7163992885237269,0.10923068798403746,0.7151483943549615,0.10905860190348893,0.5534633461923971,1.679629511198735
2,44,0.7104682142385004,0.14954884764816734,0.7092456621909379,0.14945757754979172,0.5660929067337023,1.5902639024195968
3,45,0.7148172261776089,0.1344548238022275,0.7131130293332876,0.13119264214440884,0.555193624399647,1.664812900077241
4,46,0.7121068346534303,0.15512295254646669,0.7099048736127038,0.1497085762274465,0.55051914197303,1.757507014923598
5,47,0.7187773775564681,0.11810556965396835,0.7178005395517848,0.11809282959294554,0.5465163998734731,1.6809995455809752
6,48,0.7101259764688959,0.1587639211133548,0.7085205623145816,0.15822099705328163,0.5697308367740118,1.5473564852122619
7,49,0.7208761867393776,0.13160495144846862,0.7196337766938571,0.13149597157657145,0.5384802492188338,1.7146935655130342
8,50,0.7194644507714824,0.13681502579518667,0.7182719943356447,0.1346118239674282,0.5460239752388666,1.6488004041437356
9,51,0.7104222388618984,0.14820637004895154,0.7093036855591641,0.14751550758639054,0.5659726759864483,1.589723605428328
