KNN Model Performance,Seed No.,Train EVS,Test EVS,Train R2,Test R2,Train MSE,Test MSE
0,42,0.6642894996887843,0.36695388738860635,0.6641361888461026,0.36502805087245205,0.644914088523597,1.2550910315484782
1,43,0.6721643939254003,0.3123274998314476,0.6721634609058178,0.3121761037409839,0.6369825703468387,1.2967062896982973
2,44,0.6676640851043507,0.3291024762093583,0.6675629223941364,0.3287877206819474,0.6472483712058835,1.2549693354334315
3,45,0.6779762850555355,0.33625281219136816,0.6778250250249878,0.3356287622570958,0.6234841952966981,1.273071408792688
4,46,0.6621122298323234,0.38888001945950634,0.6621041018575524,0.38877622781921717,0.6412315926784653,1.263366931927491
5,47,0.6667986603824493,0.35236295947853913,0.6667069363892077,0.3523375111763346,0.6454658876316174,1.23450674394666
6,48,0.6726365379868238,0.3190875969808509,0.6724971236422526,0.3190794946131895,0.6401428837480209,1.2516667156533754
7,49,0.6770407444983072,0.33443645020454416,0.6769807320174661,0.3335649299534299,0.6204010378803324,1.315747410539306
8,50,0.6750928360943511,0.2849206948790044,0.6750928335345904,0.28427928370333977,0.6297105685275682,1.3636430898491512
9,51,0.6605369982207958,0.34846153298107996,0.6603597801166432,0.348311269380435,0.6612642629809891,1.2152771899983081
