RF Model Performance,Seed No.,Train EVS,Test EVS,Train R2,Test R2,Train MSE,Test MSE
0,42,0.8201704986512022,0.406032410615648,0.8201665983511404,0.4052957117261736,0.34530988590887474,1.1754976257793208
1,43,0.8228103443864652,0.33312057756982383,0.8228103084266747,0.33261220120183044,0.3442775033228238,1.2581795443227803
2,44,0.8247764449695076,0.37174956821478133,0.8247395140230506,0.37123294560908415,0.34122867672366786,1.1756092620848766
3,45,0.8252662895836491,0.3359689842071879,0.8252591212204228,0.335944477341916,0.33816461442969775,1.2724664340060392
4,46,0.8201712887740469,0.3967143054105041,0.8201680795124264,0.39671086550887935,0.34127051977429085,1.2469664590889118
5,47,0.8214957470805867,0.35321431277040993,0.8214703039654634,0.35307674936642774,0.3457462554759378,1.233097685143964
6,48,0.8224883132708245,0.3365746347718981,0.822426504458431,0.33655805751471946,0.347088278360726,1.2195376561695948
7,49,0.8272687198876586,0.3663606139265402,0.8272673682252639,0.3662991883007748,0.3317557639770332,1.251119935797567
8,50,0.8279551716704698,0.31978334070079406,0.8279445088834558,0.3194099057475024,0.3334649780364992,1.2967096772737798
9,51,0.8165105311057309,0.3534586110252089,0.816502325383012,0.3525611983514818,0.35726173598050315,1.2073518699874557
