Stacked Models Performance,Seed No.,Train EVS,Test EVS,Train R2,Test R2,Train MSE,Test MSE
0,42,0.6801871863088704,0.4731659834967614,0.679922327255348,0.4731034459444132,0.6146020908465357,1.041468273453018
1,43,0.6806490248798196,0.43331148368937533,0.6804580619173493,0.4326042156717933,0.6208662573607229,1.069671592232123
2,44,0.6923784311773264,0.44531810508433123,0.691373881462888,0.4452508127052981,0.6008889079802701,1.0372176439006688
3,45,0.6969037268184142,0.42957547556653064,0.696761915561658,0.42942929367515725,0.5868368673700232,1.0933303726160062
4,46,0.6764035008740585,0.4660786509526651,0.6706014396448235,0.46211037919631226,0.6251060301226223,1.1117891529739194
5,47,0.6896407940238345,0.4287513753870962,0.6896251462139593,0.42829566265725527,0.6010817576794394,1.0897232311154128
6,48,0.6990340577286415,0.42816552022831633,0.6984292875790217,0.42735269377505836,0.5894554199036528,1.0526391367860977
7,49,0.6939076838698258,0.43367931784409675,0.6938321313632483,0.43322789596292977,0.5880357065205187,1.1189821210948252
8,50,0.7143210623520447,0.41921466079104297,0.7100565744432309,0.41701278918525464,0.5619464825427962,1.1107495750736978
9,51,0.6746782603584496,0.43342555027710183,0.6737373852105717,0.4285055034716575,0.6352186663319072,1.0657299922620618
